name,description,duration,imdb_rating,metascore,directors,writers,stars
Infinity Pool,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.",1h 57m,6.0,72,['Brandon Cronenberg'],['Brandon Cronenberg'],"['Alexander Skarsgård', 'Mia Goth', 'Cleopatra Coleman']"
Winnie-the-Pooh: Blood and Honey,"After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.",1h 24m,2.9,16,['Rhys Frake-Waterfield'],['Rhys Frake-Waterfield'],"['Nikolai Leon', 'Maria Taylor', 'Natasha Rose Mills']"
Past Lives,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",1h 45m,7.8,94,['Celine Song'],['Celine Song'],"['Greta Lee', 'Teo Yoo', 'John Magaro']"
Knock at the Cabin,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse.",1h 40m,6.1,63,['M. Night Shyamalan'],"['Paul Tremblay', 'M. Night Shyamalan', 'Steve Desmond']","['Dave Bautista', 'Jonathan Groff', 'Ben Aldridge']"
Fair Play,"An unexpected promotion at a cutthroat hedge fund pushes a young couple's relationship to the brink, threatening to unravel far more than their recent engagement.",1h 53m,6.4,73,['Chloe Domont'],['Chloe Domont'],"['Phoebe Dynevor', 'Alden Ehrenreich', 'Eddie Marsan']"
Missing,"When her mother disappears while on vacation in Colombia with her new boyfriend, June's search for answers is hindered by international red tape. However, as she digs deeper, her digital sleuthing soon raises more questions than answers.",1h 51m,7.1,66,"['Nicholas D. Johnson', 'Will Merrick']","['Will Merrick', 'Nicholas D. Johnson', 'Sev Ohanian']","['Tim Griffin', 'Ava Zaria Lee', 'Nia Long']"
Operation Fortune: Ruse de Guerre,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,1h 54m,6.3,51,['Guy Ritchie'],"['Guy Ritchie', 'Ivan Atkinson', 'Marn Davies']","['Jason Statham', 'Aubrey Plaza', 'Cary Elwes']"
Plane,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.,1h 47m,6.5,62,['Jean-François Richet'],"['Charles Cumming', 'J.P. Davis']","['Gerard Butler', 'Mike Colter', 'Tony Goldwyn']"
Teen Wolf: The Movie,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.",2h 21m,5.6,51,['Russell Mulcahy'],"['Jeff Davis', 'Will Wallace', 'Joseph Patrick Genier']","['Tyler Posey', 'Crystal Reed', 'Holland Roden']"
Eileen,"A young woman working at a boys' corrections facility becomes mesmerized by the new female psychologist, but their budding relationship soon takes a sinister turn.",1h 37m,5.9,72,['William Oldroyd'],"['Luke Goebel', 'Ottessa Moshfegh']","['Thomasin McKenzie', 'Shea Whigham', 'Sam Nivola']"
Run Rabbit Run,"Sarah Snook plays a fertility doctor who believes firmly in life and death, but after noticing the strange behavior of her young daughter, she must challenge her own values and confront a ghost from her past.",1h 40m,5.0,52,['Daina Reid'],['Hannah Kent'],"['Sarah Snook', 'Lily LaTorre', 'Neil Melville']"
The Crime Is Mine,"Paris, France, 1935, and a young actress has just been acquitted of murdering a famous French Producer. However, this is where the story just begins. Is she really innocent?, or has she gotten away with Murder?",N/A,6.5,74,['François Ozon'],"['François Ozon', 'Philippe Piazzo', 'Georges Berr']","['Nadia Tereszkiewicz', 'Rebecca Marder', 'Isabelle Huppert']"
Fremont,"Donya works for a Chinese fortune cookie factory. Formerly a translator for the U.S. military, she struggles to put her life back in order. In a moment of sudden revelation, she decides to send out a special message in a cookie.",N/A,6.9,72,['Babak Jalali'],"['Carolina Cavalli', 'Babak Jalali']","['Anaita Wali Zada', 'Gregg Turkington', 'Jeremy Allen White']"
Onyx the Fortuitous and the Talisman of Souls,Fledgling occultist Onyx and a group of worshipers attend a once-in-a-lifetime ritual at their idol BARTOK THE GREAT'S mansion.,1h 48m,6.2,N/A,['Andrew Bowser'],['Andrew Bowser'],"['Andrew Bowser', 'Rivkah Reyes', 'Melanie Chandra']"
You People,"Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences.",1h 57m,5.5,50,['Kenya Barris'],"['Jonah Hill', 'Kenya Barris']","['Jonah Hill', 'Lauren London', 'Eddie Murphy']"
